"Имя","Категория","Количество","Материал","Материал.Имя","Материал.Плотность","Материал.Теплопроводность","Материал.Уникальный идентификатор","Номинальная высота","Номинальная длина","Номинальная толщина","Полная масса","Полная площадь","Полная площадь боковой поверхности слева","Полная площадь боковой поверхности справа","Полная площадь продольного сечения","Полный объём","Тип объекта","Толщина слоя","Уникальный идентификатор","Уровень","Чистая масса","Чистая площадь","Чистая площадь боковой поверхности слева","Чистая площадь боковой поверхности справа","Чистая площадь основания","Чистая площадь продольного сечения","Чистый объём"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","5582.0491656","200.0000000","7703.2278486","","16.7461475","16.7461475","16.7461475","3.3492295","Слой","200.0000000","535ef86d-6a38-811f-3f3a-b2132c86a5c5","1","6932.0793253","","15.6297377","15.0697377","1.0764098","15.0697377","3.0139475"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","5570.4340209","200.0000000","7687.1989489","","16.7113021","16.7113021","16.7113021","3.3422604","Слой","200.0000000","d7f97332-1e2d-8463-05a7-a943d379b3b6","1","6917.1190189","","15.5972153","15.0372153","1.0740868","15.0372153","3.0074431"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","6200.1971089","200.0000000","8556.2720103","","18.6005913","18.6005913","18.6005913","3.7201183","Слой","200.0000000","18e0e5e6-302b-8b96-1fcd-ef2feec79651","1","7985.8538763","","17.3605519","17.3605519","1.2400394","17.3605519","3.4721104"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","7635.7961380","200.0000000","10537.3986705","","22.9073884","22.9073884","22.9073884","4.5814777","Слой","200.0000000","a0d12cdb-5f9c-8b64-3b4b-3bc83250abbe","1","9852.4677569","","21.4184082","21.4184082","1.5271592","21.4184082","4.2836816"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","6156.5656382","200.0000000","8634.0605807","","18.7696969","18.7696969","18.7696969","3.7539394","Слой","200.0000000","a37f3379-7f99-80d4-1c43-4e31bb1d50d0","1","7929.6565420","","17.2383838","17.2383838","1.2313131","17.2383838","3.4476768"
"Слой 1 - Бетон: 450,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","5095.8731390","450.0000000","15822.6860967","","15.2876194","15.2876194","15.2876194","6.8794287","Слой","450.0000000","e4da5fef-b19d-8fa7-32c2-b31624f1da15","1","14767.8403569","","14.2684448","14.2684448","2.2931429","14.2684448","6.4208002"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","4572.3238584","200.0000000","6309.8069246","","13.7169716","13.7169716","13.7169716","2.7433943","Слой","200.0000000","0408c0c6-5127-8ba3-0973-8aca8417ca39","1","5889.1531296","","12.8025068","12.8025068","0.9144648","12.8025068","2.5605014"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","6014.8105075","200.0000000","8300.4385004","","18.0444315","18.0444315","18.0444315","3.6088863","Слой","200.0000000","862bd766-f4fd-8535-0071-194a8e1f221d","1","6365.9259020","","14.3989694","14.3989694","0.9429621","13.8389694","2.7677939"
"Слой 1 - Бетон: 450,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","8421.0382633","450.0000000","26147.3238075","","25.2631148","25.2631148","25.2631148","11.3684017","Слой","450.0000000","5eb73ce9-375b-827b-1738-1627381a9884","1","24404.1688870","","23.5789071","23.5789071","3.7894672","23.5789071","10.6105082"
"Слой 1 - Бетон: 195,00 мм","Слой перекрытия","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","","","195.0000000","392009.8858108","874.0465681","","","","170.4390808","Слой","195.0000000","5c0ccdfd-c6f4-d25c-0d12-fbee2800bb52","2","388056.4714803","865.2318205","","","","","168.7202050"
